Round 1 | Loss: 0.6978 | Acc: 0.4211 | AUC: 0.8922
Round 2 | Loss: 0.8161 | Acc: 0.0440 | AUC: 0.8612
Round 3 | Loss: 0.8838 | Acc: 0.0421 | AUC: 0.8263
Round 4 | Loss: 0.9686 | Acc: 0.0381 | AUC: 0.7951
Round 5 | Loss: 0.9673 | Acc: 0.0528 | AUC: 0.8018
Round 6 | Loss: 0.9570 | Acc: 0.0638 | AUC: 0.8046
Round 7 | Loss: 0.9498 | Acc: 0.0775 | AUC: 0.8130
Round 8 | Loss: 0.9499 | Acc: 0.0809 | AUC: 0.8258
Round 9 | Loss: 0.9427 | Acc: 0.0904 | AUC: 0.7952
Round 10 | Loss: 0.9509 | Acc: 0.0927 | AUC: 0.7964
Round 11 | Loss: 0.9141 | Acc: 0.1087 | AUC: 0.8034
Round 12 | Loss: 0.8988 | Acc: 0.1166 | AUC: 0.8115
Round 13 | Loss: 0.9123 | Acc: 0.1121 | AUC: 0.8069
Round 14 | Loss: 0.9309 | Acc: 0.1108 | AUC: 0.8050
Round 15 | Loss: 0.9292 | Acc: 0.1169 | AUC: 0.7980

Best threshold: 0.83 (Val F1: 0.4806)
