round,val_pr_auc,val_f1_tuned,test_pr_auc,test_f1_tuned,blocks,K,comm_total_mb,e2e_sec,best_threshold,test_roc_auc,test_acc
1,0.001017537684807115,0.0033309875674407694,0.0009872286095735066,0.0033309875674407694,2,2,0.11985301971435547,1.7317843437194824,0.01,0.13739654079627456,0.0016682722808336662
2,0.006945052281757793,0.00333106570644397,0.010279609762791023,0.00333106570644397,4,2,0.12006664276123047,1.228189468383789,0.45,0.19878819139654344,0.0016917690735214644
3,0.045643113303288504,0.09411764705882353,0.051142493724927976,0.09876543209876543,6,2,0.12005901336669922,1.2964141368865967,0.53,0.3435525125901332,0.9982847341337907
4,0.10131666785152374,0.17204301075268819,0.15851727882000288,0.1839080459770115,8,2,0.12006282806396484,1.2360143661499023,0.53,0.5194964742323268,0.9983317277191663
5,0.15545027369694883,0.26262626262626265,0.25862072347786474,0.4117647058823529,10,2,0.12006282806396484,1.3167617321014404,0.53,0.6407844070637343,0.9985901924387321
6,0.23128792160376926,0.3300970873786408,0.35070002754527224,0.4954128440366973,12,2,0.12006282806396484,1.2282488346099854,0.53,0.7403354650592313,0.9987076764021711
7,0.33777409177630463,0.41509433962264153,0.45422339012858154,0.543859649122807,14,2,0.12006473541259766,1.2436225414276123,0.53,0.7926136891012805,0.9987781667802345
8,0.45859330907479146,0.5309734513274337,0.5275636100436547,0.6612903225806451,16,2,0.1200571060180664,1.3162493705749512,0.53,0.8310251975039846,0.9990131347071125
9,0.5277849699274395,0.6614173228346457,0.5790364493214857,0.696969696969697,18,2,0.12006092071533203,1.2353465557098389,0.53,0.8452877166974735,0.999060128292488
10,0.5706798538395601,0.7014925373134329,0.6058614081520985,0.725925925925926,20,2,0.12006664276123047,1.2600140571594238,0.53,0.8546563934539264,0.9991306186705514
11,0.5961236392740666,0.7111111111111111,0.6206591871067684,0.762589928057554,22,2,0.12006092071533203,1.3196361064910889,0.53,0.857771771847428,0.9992246058413027
12,0.6084566224857904,0.7285714285714285,0.6286611524774254,0.7464788732394366,24,2,0.12005901336669922,1.2489604949951172,0.53,0.862086826172626,0.9991541154632393
13,0.6247422206073955,0.7540983606557377,0.6331623914779074,0.7384615384615385,26,2,0.12006282806396484,1.321962594985962,0.55,0.8626024647224336,0.9992011090486148
14,0.6301305469264454,0.752,0.6296540947866215,0.7669172932330827,28,2,0.1200704574584961,1.2494418621063232,0.55,0.8652454645023218,0.9992715994266782
15,0.6353663065909578,0.7906976744186046,0.63868215484296,0.7761194029850746,30,2,0.12006092071533203,1.2562673091888428,0.55,0.8679091826424561,0.9992950962193661
16,0.6398082369251142,0.7906976744186046,0.6381858363989221,0.7851851851851852,32,2,0.12005901336669922,1.2974417209625244,0.55,0.873317337654244,0.9993185930120538
17,0.643314655496724,0.7906976744186046,0.6355009152096435,0.782608695652174,34,2,0.12005901336669922,1.2633023262023926,0.55,0.8781059308212295,0.9992950962193661
18,0.6468217687152338,0.8091603053435115,0.6358646884480079,0.7857142857142857,36,2,0.12005329132080078,1.260695457458496,0.55,0.8813968351627369,0.9992950962193661
19,0.6493516996241174,0.8181818181818182,0.645095532131615,0.7943262411347518,38,2,0.12005901336669922,1.335951805114746,0.55,0.88820820327728,0.9993185930120538
20,0.6496462582131657,0.8270676691729323,0.6441918018251712,0.8,40,2,0.12006092071533203,1.2593369483947754,0.55,0.8890392581434757,0.9993420898047417
